income,loan_purpose,coop_unit,trem_months,state_clean,first_hoam_loan,gender,age,num_units,credit_score,prop_typ,int_rate
39084,2,2,180,3,2,1,49,1,4,1,3.5
48312,1,2,180,3,2,1,23,1,5,1,3.38
174096,2,2,180,3,2,1,57,1,5,1,3.13
110328,2,2,180,3,2,1,40,1,4,1,3.5
54468,2,2,120,3,2,1,53,1,4,1,3.5
80935,1,2,180,3,2,2,56,1,3,1,3.38
106079,2,2,180,3,2,1,56,1,4,1,3.5
41232,2,2,180,3,2,1,56,1,4,1,3.38
34337,2,2,180,3,2,1,72,1,5,1,3.38
206572,1,2,360,3,2,1,54,1,4,1,4
295104,2,2,180,3,2,1,62,1,5,1,3.13
150000,1,2,180,3,2,1,73,1,5,1,3.38
161505,2,2,180,3,2,1,40,1,5,1,3.5
100320,2,2,180,3,2,2,58,1,5,1,3.38
206803,2,2,180,3,2,1,65,1,5,1,3.38
80052,2,2,180,3,2,2,38,1,4,1,3.38
533045,1,2,180,3,2,1,49,1,3,1,3.38
83256,1,2,360,3,2,1,47,1,2,1,4.38
115559,2,2,180,3,2,1,62,1,4,1,3.13
313208,2,2,180,3,2,2,59,1,5,1,3.13
194808,1,2,180,3,2,1,49,1,5,1,3.38
137052,2,2,180,3,2,1,44,1,5,1,3.38
115980,1,2,120,3,2,1,64,1,4,1,3.38
75380,2,2,180,3,2,1,52,1,3,1,3.38
284604,2,2,180,3,2,1,48,1,5,1,3.38
54012,2,2,180,3,2,2,45,1,5,1,3.38
325701,1,2,180,3,2,3,44,1,4,7,3.38
459996,1,2,180,3,2,2,35,1,4,6,3.25
109034,1,2,180,3,2,2,50,1,4,1,3.38
99055,2,2,360,3,2,1,32,1,5,1,4.13
125987,2,2,360,3,2,1,70,1,4,2,4.25
37419,2,2,180,3,2,1,58,1,4,1,3.5
103958,2,2,180,3,2,1,44,1,5,1,3.5
153000,2,2,180,3,2,2,38,1,4,1,3.25
104873,1,2,360,3,2,2,39,1,5,1,4.5
102492,2,2,360,3,2,3,43,1,2,1,4.63
47771,2,2,360,3,2,1,30,1,4,1,4.5
113186,1,2,360,3,2,2,51,1,4,1,4.5
120850,1,2,360,3,2,2,48,1,3,1,4.38
57217,1,2,360,3,2,1,65,1,3,1,4.25
247932,1,2,360,3,2,3,54,1,3,12,4.38
115242,1,2,360,2,2,2,27,1,4,1,4.13
112826,1,2,360,3,2,1,36,1,5,1,4.25
88244,2,2,360,3,2,1,60,1,5,1,4.13
152969,1,2,180,3,2,1,48,1,3,1,3.38
90200,2,2,360,3,2,1,28,1,5,1,4.38
63731,1,2,360,3,2,1,55,1,4,2,4.25
60086,1,2,360,3,2,1,30,1,5,1,4.63
87298,2,2,300,3,2,1,44,1,5,1,4.13
67600,2,2,360,3,2,2,26,1,3,1,4.25
85670,1,2,360,3,2,1,38,1,5,1,4.63
109304,1,2,360,3,2,1,58,1,5,1,4.63
125652,2,2,180,3,2,3,75,1,4,1,3.38
228513,1,2,360,3,2,1,41,1,5,1,4.5
82162,2,2,360,3,2,1,61,1,5,1,4.13
66417,1,2,360,3,2,1,25,1,4,1,4.25
139600,2,2,360,3,2,1,46,1,5,1,4.5
79000,2,2,360,3,2,1,40,1,5,1,4.5
104933,2,2,360,3,2,1,37,1,4,1,4
61710,2,2,360,3,2,1,40,1,4,1,4.38
280800,2,2,360,3,2,1,35,1,5,1,4.38
80527,2,2,360,3,2,1,44,1,5,1,4.25
78840,2,2,360,3,2,3,50,1,5,1,4.25
329990,2,2,180,3,2,3,53,1,5,1,3.25
245012,2,2,180,3,2,1,47,1,5,1,3.38
245338,1,2,360,3,2,1,36,1,5,1,4.25
290860,2,2,360,3,2,1,38,1,4,1,4.5
319900,1,2,360,3,2,1,37,1,5,1,4.38
92262,1,2,360,3,2,2,42,1,4,1,4.5
102342,2,2,360,3,2,2,51,1,5,2,4.38
314440,1,2,180,3,2,1,59,1,5,1,3.5
53117,2,2,240,3,2,2,40,1,5,1,4.25
226828,1,2,360,3,2,1,44,1,5,1,4.25
185061,2,2,360,3,2,1,63,1,4,1,4.25
512293,1,2,360,3,2,3,48,1,5,1,4.5
113221,1,2,180,3,2,1,53,1,5,1,3.25
140546,1,2,360,3,2,1,62,1,5,1,4.25
96226,2,2,300,3,2,1,34,1,5,1,4.25
104673,2,2,180,3,2,1,80,1,5,1,3.25
95838,2,2,360,3,2,1,65,2,5,1,4.13
62339,2,2,360,4,2,1,63,2,5,1,4.13
250016,1,2,360,3,2,2,38,1,5,1,4.25
160440,1,2,360,3,2,3,62,1,5,1,4.5
137424,2,2,360,3,2,1,36,1,5,1,4.38
131165,1,2,180,3,1,2,38,1,5,1,3.38
245000,1,2,360,3,2,1,53,1,5,1,4.38
229117,1,2,360,3,2,1,51,1,5,1,4.25
476052,1,2,180,2,2,1,60,1,5,1,3.38
99957,1,2,360,4,2,1,47,1,5,1,4.13
251685,2,2,360,3,2,2,49,1,5,1,4.38
